,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,workspace,project,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/apollo-fikz-xpili/sibi-hh5if,apollo-fikz-xpili,sibi-hh5if,berhasil
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/apollo-fikz-xpili/tenword,apollo-fikz-xpili,tenword,berhasil
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/kittipakorn/sigh-vqrej,kittipakorn,sigh-vqrej,tidak ada file best.pt
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/sahrial-ihsani-ishak/bisindo-dataset-for-26-letters,sahrial-ihsani-ishak,bisindo-dataset-for-26-letters,gagal download
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,/sign-recognintion/sign-recoginition,sign-recognintion,sign-recoginition,berhasil
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,/test-2-csjzq/signs-n3pju,test-2-csjzq,signs-n3pju,berhasil
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,/awaliaa/isyarat-rvpbs,awaliaa,isyarat-rvpbs,tidak ada file best.pt
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,/shaafz/isl-yphyg,shaafz,isl-yphyg,berhasil
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,/ss-hwnzd/sign_recognition,ss-hwnzd,sign_recognition,berhasil
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,/tes-isprz/sign2-6mwfm,tes-isprz,sign2-6mwfm,gagal download
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,/tes-isprz/sign3,tes-isprz,sign3,berhasil
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,/manipal-institute-of-technologymanipal/signlanguage-ty6ta,manipal-institute-of-technologymanipal,signlanguage-ty6ta,berhasil
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,/capstone-projet/sign-language-bisindo-qdpec,capstone-projet,sign-language-bisindo-qdpec,berhasil
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,/universitas-muhammadiyah-sorong/sing-language-sibi,universitas-muhammadiyah-sorong,sing-language-sibi,berhasil
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,/yoloooooo/bisindo-baru,yoloooooo,bisindo-baru,tidak ada file best.pt
